,action_id,action_type_label,action_subcategory_label,action_start_date,action_year,action_end_date,action_collection_year,action_collection,action_universe,action_category_label,action_channel,action_label,client_id,client_is_present,client_is_invited,duration,duration_days,gain_user,cluster_not_attending_gain,real_gain_event
2802,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c20116581,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2803,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c71907462,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2804,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c84709066,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2805,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c76394813,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2806,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c03648289,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2807,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c69825341,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2808,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c12274322,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2809,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c41235770,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2810,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c10173095,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2811,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c40262102,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2812,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c01515267,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2813,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c05144113,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2814,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c97555010,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2815,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c82162843,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2816,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c96702446,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2817,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c96429553,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2818,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c65840416,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2819,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c71268367,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2820,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c93823017,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2821,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c79852751,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2822,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c60681846,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2823,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c72431204,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2824,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c17941177,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2825,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c59841228,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2826,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c57136562,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2827,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c76581097,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2828,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c90119594,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2829,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c77500575,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2830,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c88430998,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2831,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c06639725,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2832,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c01027652,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2833,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c54210474,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2834,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c94773860,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2835,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c07910110,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2836,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c51852933,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2837,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c36533940,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2838,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c92015047,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2839,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c98428942,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2840,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c94610517,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2841,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c00793764,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2842,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c35118586,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2843,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c57036995,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2844,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c62265272,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2845,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c33611671,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2846,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c46452105,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2847,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c04486598,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2848,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c61957624,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2849,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c18732555,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2850,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c62737454,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2851,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c88342349,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2852,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c12279361,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2853,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c22189592,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2854,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c70358606,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2855,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c31746964,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2856,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c40683252,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2857,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c31819996,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2858,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c88403324,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2859,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c05578338,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2860,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c28833054,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2861,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c76638248,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2862,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c10083884,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2863,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c62345523,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2864,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c46244814,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2865,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c37569207,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2866,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c66311383,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2867,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c33524955,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2868,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c85508101,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2869,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c67394449,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2870,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c27717425,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2871,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c31785459,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2872,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c60075303,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2873,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c63470438,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2874,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c64388625,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2875,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c81295274,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2876,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c31639481,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2877,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c62372653,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2878,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c45547422,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2879,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c24773250,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2880,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c39235417,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2881,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c72427620,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2882,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c72634285,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2883,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c93167879,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2884,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c73099324,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2885,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c79162227,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2886,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c63291378,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2887,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c82104000,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2888,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c59943524,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2889,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c40849747,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2890,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c05123564,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2891,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c01820206,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2892,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c78073557,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2893,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c60947117,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2894,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c30607263,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2895,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c95103187,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2896,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c64672043,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2897,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c69670545,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2898,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c44285534,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2899,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c51386714,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2900,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c98584968,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2901,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c27102166,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2902,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c27077133,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2903,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c40825509,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2904,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c23562653,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2905,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c84072796,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2906,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c54112676,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2907,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c14818936,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2908,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c42777534,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2909,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c95646191,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2910,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c77292455,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2911,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c03565616,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2912,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c98882703,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2913,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c00709158,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2914,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c43833017,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2915,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c72410061,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2916,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c53498057,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2917,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c97336100,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2918,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c14408931,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2919,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c51949313,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2920,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c39923512,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2921,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c55875396,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2922,a032339,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c25100065,1,1,0 days,0.0,-1816.498652291104,0.0,-1816.498652291104
2923,a443672,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c44581190,1,1,0 days,0.0,3592.144204851753,0.0,3592.144204851753
2924,a443672,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c21423442,1,1,0 days,0.0,3592.144204851753,0.0,3592.144204851753
2925,a443672,Social Celebrity Action,Collection,2021-12-09,2021,2021-12-09,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c20154031,1,1,0 days,0.0,3592.144204851753,0.0,3592.144204851753
2926,a200031,Collection,Collection,2021-11-20,2021,2021-11-20,2021,Spring Collection,Men's Fashion,Retail,,Exclusive Offer,c02495966,1,1,0 days,0.0,-11071.456259062348,0.0,-11071.456259062348
2927,a277353,Collection,Collection,2020-01-29,2020,2020-01-30,2020,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c60833188,1,1,1 days,1.0,-4768.923371647509,0.0,-4768.923371647509
